,class,number_of_exclamation_mark,number_of_question_mark,number_of_full_stop_mark,number_of_hateful_words,number_of_neutral_words,number_of_interjections,number_of_all_caps_words,number_of_quotation_marks,number_of_words,number_of_laughing_expressions,hate_speech_unigrams,hate_speech_bigrams,hate_speech_trigrams,unigrams,bigrams,trigrams,pattern_count,patterns,sentiment,topic
2247,1,0,0,0,1,1,0,0,0,10,0,2,0,0,"[('ape',), ('watch',)]",[],[],3,"{('NN', 'IN'), ('IN', 'DT'), ('IN', 'NN')}",0.0,1
2248,0,0,0,1,1,3,0,0,0,8,0,4,0,0,"[('chink',), ('ass',), ('big',), ('eye',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",-0.25,1
2249,0,0,0,3,2,0,0,0,0,18,0,5,0,0,"[('nigger',), ('not',), ('ur',), ('street',), ('jew',)]",[],[],5,"{('NNS', 'VBP'), ('JJ', 'NN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",-0.7351,1
2250,1,0,0,0,0,1,0,1,0,13,0,3,0,0,"[('nicca',), ('ya',), ('wit',)]",[],[],3,"{('NN', 'CC'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,1
2251,1,4,0,0,0,0,0,0,0,4,0,0,0,0,[],[],[],1,"{('NN', 'NN')}",0.0,1
2252,1,0,0,1,1,4,0,0,0,17,0,2,0,0,"[('ghetto',), ('day',)]",[],[],1,"{('DT', 'NN')}",0.2732,1
2253,0,0,0,2,2,1,0,1,0,20,0,4,0,0,"[('race',), ('fact',), ('bitch',), ('not',)]",[],[],5,"{('NNS', 'VBP'), ('DT', 'NN'), ('IN', 'DT'), ('NN', 'NN'), ('NNS', 'IN')}",-0.4133,1
2254,1,0,0,0,1,3,0,0,0,6,0,2,0,0,"[('today',), ('monkey',)]",[],[],1,"{('NN', 'NN')}",0.2263,1
2255,1,0,0,0,0,0,0,0,0,10,0,1,0,0,"[('home',)]",[],[],2,"{('NN', 'CC'), ('TO', 'VB')}",0.0,1
2256,1,0,0,1,0,2,0,0,0,16,0,2,0,0,"[('cracker',), ('good',)]",[],[],6,"{('NNS', 'VBP'), ('NNS', 'IN'), ('NN', 'IN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.4927,1
2257,1,0,0,0,1,1,0,0,0,7,0,1,0,0,"[('date',)]",[],[],4,"{('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN'), ('NN', 'CC')}",0.0,0
2258,0,0,0,0,4,1,0,0,0,7,0,3,1,0,"[('bitch',), ('love',), ('nigga',)]","[('nigga', 'bitch')]",[],2,"{('NNS', 'VBP'), ('NN', 'NN')}",0.34,1
2259,1,0,0,0,0,1,0,8,0,26,0,5,0,0,"[('hand',), ('call',), ('ask',), ('walk',), ('buy',)]",[],[],8,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.4939,1
2260,1,0,0,0,0,1,0,0,0,6,0,1,0,0,"[('trash',)]",[],[],1,"{('JJ', 'NN')}",0.0,0
2261,1,0,0,2,0,1,0,0,0,18,0,0,0,0,[],[],[],7,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('NNS', 'IN')}",0.0,0
2262,1,0,1,0,0,0,0,0,0,4,0,0,0,0,[],[],[],1,"{('PRP', 'VBP')}",0.0,1
2263,1,0,2,0,0,4,0,0,0,14,0,3,0,0,"[('go',), ('head',), ('work',)]",[],[],4,"{('IN', 'DT'), ('NN', 'NN'), ('TO', 'VB'), ('DT', 'NN')}",-0.5661,1
2264,1,0,1,0,0,3,0,0,0,15,0,1,0,0,"[('yellow',)]",[],[],3,"{('NN', 'IN'), ('IN', 'NN'), ('DT', 'NN')}",0.0,1
2265,1,0,2,0,1,4,0,0,0,22,0,5,0,0,"[('thought',), ('long',), ('illeg',), ('racist',), ('chang',)]",[],[],5,"{('NNS', 'VBP'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'NN')}",-0.8385,0
2266,1,1,1,0,2,2,0,1,0,21,0,7,0,0,"[('let',), ('long',), ('go',), ('mean',), ('continu',), ('stop',), ('pussi',)]",[],[],4,"{('NNS', 'VBP'), ('TO', 'VB'), ('NNS', 'IN'), ('NN', 'NN')}",-0.69,1
2267,1,0,1,2,0,6,0,1,0,23,0,3,0,0,"[('best',), ('hit',), ('number',)]",[],[],7,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('PRP', 'VBP'), ('NN', 'IN'), ('TO', 'VB'), ('IN', 'DT'), ('DT', 'NN')}",0.5719,1
2268,1,0,1,0,0,0,0,0,0,3,0,0,0,0,[],[],[],0,set(),0.0,0
2269,1,1,1,5,2,4,0,1,0,22,0,7,0,0,"[('hit',), ('hell',), ('run',), ('line',), ('smh',), ('yellow',), ('home',)]",[],[],5,"{('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.899,0
2270,1,0,1,3,0,2,0,0,0,15,0,2,0,0,"[('give',), ('feel',)]",[],[],3,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN')}",0.9022,1
2271,1,0,0,2,2,3,0,4,0,23,0,6,0,0,"[('be',), ('not',), ('mean',), ('shit',), ('watch',), ('coon',)]",[],[],7,"{('NNS', 'IN'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.5574,0
2272,0,0,0,1,2,1,0,3,0,27,0,6,1,0,"[('nigger',), ('like',), ('be',), ('not',), ('reason',), ('want',)]","[('be', 'not')]",[],6,"{('JJ', 'NNS'), ('TO', 'VB'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NNS', 'IN')}",0.5859,1
2273,1,0,0,0,0,1,0,1,0,15,0,1,0,0,"[('run',)]",[],[],4,"{('DT', 'NN'), ('NN', 'IN'), ('IN', 'DT'), ('PRP', 'VBP')}",0.0,1
2274,0,0,0,2,1,1,0,1,0,19,0,5,0,0,"[('thing',), ('trash',), ('know',), ('nigga',), ('want',)]",[],[],4,"{('NN', 'IN'), ('PRP', 'VBP'), ('IN', 'DT'), ('DT', 'NN')}",0.0772,1
2275,1,0,0,0,0,1,0,4,0,28,0,4,0,0,"[('hit',), ('get',), ('bad',), ('went',)]",[],[],5,"{('NN', 'IN'), ('NN', 'CC'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",-0.6249,0
2276,1,0,0,0,1,2,0,2,0,11,0,3,0,0,"[('dat',), ('follow',), ('color',)]",[],[],2,"{('NNS', 'VBP'), ('NN', 'NN')}",0.0,1
2277,1,0,0,1,1,2,0,2,0,25,0,2,0,0,"[('life',), ('live',)]",[],[],6,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.743,1
2278,1,0,0,1,1,1,0,1,0,10,0,0,0,0,[],[],[],3,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,1
2279,1,0,0,1,0,4,0,1,0,20,0,2,0,0,"[('call',), ('yellow',)]",[],[],6,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.5719,1
2280,1,0,0,0,0,3,0,1,0,22,0,1,0,0,"[('best',)]",[],[],6,"{('NNS', 'VBP'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN')}",0.3832,0
2281,1,0,0,2,1,3,0,1,0,20,0,2,0,0,"[('ask',), ('god',)]",[],[],5,"{('NN', 'IN'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.2732,1
2282,1,0,0,1,0,2,0,1,0,5,0,1,0,0,"[('monkey',)]",[],[],2,"{('NN', 'NN'), ('DT', 'NN')}",0.0,1
2283,1,0,0,0,1,2,0,1,0,11,0,0,0,0,[],[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,0
2284,0,0,0,0,4,0,0,1,0,13,0,5,1,1,"[('fuck',), ('new',), ('like',), ('shit',), ('bitch',)]","[('fuck', 'bitch')]","[('shit', 'like', 'fuck')]",6,"{('JJ', 'NNS'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('NNS', 'IN')}",-0.9186,1
2285,1,0,0,1,0,4,0,1,0,24,0,1,0,0,"[('yellow',)]",[],[],7,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NN', 'CC'), ('JJ', 'NN'), ('TO', 'VB'), ('DT', 'JJ'), ('NN', 'NN')}",0.0,1
2286,0,0,0,1,6,2,0,1,0,12,0,5,1,0,"[('savag',), ('bet',), ('fuck',), ('think',), ('faggot',)]","[('fuck', 'faggot')]",[],4,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN'), ('PRP', 'VBP')}",-0.8268,1
2287,1,3,0,0,0,2,0,1,0,5,0,2,0,0,"[('hear',), ('outsid',)]",[],[],0,set(),0.0,0
2288,1,0,0,0,0,1,0,1,0,12,0,3,0,0,"[('play',), ('hear',), ('live',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.2023,1
2289,1,1,0,0,0,2,0,1,0,6,0,1,0,0,"[('hear',)]",[],[],0,set(),0.0,0
2290,1,0,0,2,1,1,0,2,0,29,0,5,1,0,"[('new',), ('like',), ('not',), ('got',), ('to',)]","[('got', 'to')]",[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ')}",-0.395,0
2291,0,0,0,2,1,1,0,1,0,9,0,3,0,0,"[('be',), ('retard',), ('not',)]",[],[],0,set(),-0.5719,1
2292,1,0,0,4,1,3,0,3,0,24,0,5,0,0,"[('yes',), ('not',), ('find',), ('ignor',), ('rt',)]",[],[],4,"{('NNS', 'VBP'), ('NN', 'NN'), ('TO', 'VB'), ('DT', 'NN')}",-0.8442,1
2293,0,0,0,1,2,0,0,1,0,6,0,3,1,0,"[('fuck',), ('hoe',), ('not',)]","[('not', 'fuck')]",[],2,"{('DT', 'JJ'), ('JJ', 'NN')}",0.6681,1
2294,0,0,0,0,4,0,0,1,0,12,0,6,2,0,"[('dick',), ('fuck',), ('not',), ('bitch',), ('nigga',), ('old',)]","[('bitch', 'nigga'), ('not', 'fuck')]",[],4,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",-0.5187,1
2295,1,0,0,2,0,1,0,1,0,9,0,3,0,0,"[('make',), ('play',), ('not',)]",[],[],0,set(),-0.6526,1
2296,1,0,0,0,0,0,0,1,0,13,0,5,0,0,"[('be',), ('not',), ('watch',), ('eat',), ('cracker',)]",[],[],3,"{('NN', 'CC'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,1
2297,1,0,0,1,0,1,0,1,0,10,0,2,0,0,"[('not',), ('color',)]",[],[],2,"{('JJ', 'NN'), ('PRP', 'VBP')}",0.0572,0
2298,1,1,0,2,0,2,0,1,0,25,0,4,0,0,"[('post',), ('new',), ('not',), ('wait',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('TO', 'VB'), ('NN', 'NN'), ('DT', 'NN')}",-0.2481,1
2299,1,0,0,1,1,1,0,1,0,18,0,5,0,0,"[('trash',), ('wait',), ('not',), ('watch',), ('right',)]",[],[],4,"{('IN', 'DT'), ('DT', 'JJ'), ('JJ', 'NN'), ('TO', 'VB')}",0.0,1
2300,1,0,0,5,0,3,0,2,0,16,0,7,0,0,"[('babi',), ('like',), ('littl',), ('not',), ('watch',), ('cri',), ('time',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN')}",-0.1531,0
2301,1,0,0,1,0,0,0,1,0,12,0,2,0,0,"[('trash',), ('better',)]",[],[],2,"{('NN', 'NN'), ('DT', 'NN')}",0.4404,0
2302,1,0,0,9,2,1,0,2,0,16,0,4,0,0,"[('be',), ('thought',), ('like',), ('retard',)]",[],[],1,"{('JJ', 'NN')}",0.3612,1
2303,1,0,0,0,0,0,0,1,0,8,0,1,0,0,"[('right',)]",[],[],2,"{('IN', 'DT'), ('DT', 'NN')}",0.0,1
2304,1,0,0,2,0,1,0,1,0,15,0,4,0,0,"[('send',), ('tweet',), ('babi',), ('not',)]",[],[],3,"{('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN')}",0.0,0
2305,1,0,0,1,2,2,0,1,0,17,1,4,0,0,"[('got',), ('goe',), ('lol',), ('yellow',)]",[],[],4,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",0.3182,1
2306,0,0,1,2,4,1,0,1,0,25,0,9,2,0,"[('die',), ('fuck',), ('not',), ('got',), ('bitch',), ('know',), ('nigga',), ('get',), ('to',)]","[('fuck', 'nigga'), ('got', 'to')]",[],9,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NNS', 'IN'), ('PRP', 'VBP'), ('NN', 'CC'), ('TO', 'VB'), ('IN', 'DT'), ('DT', 'JJ'), ('DT', 'NN')}",-0.9217,1
2307,1,0,0,1,2,2,0,2,0,18,0,3,0,0,"[('buy',), ('fag',), ('not',)]",[],[],5,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'NN')}",0.4767,0
2308,0,0,0,2,6,4,0,3,0,32,0,10,1,0,"[('da',), ('dat',), ('not',), ('be',), ('wit',), ('human',), ('monkey',), ('today',), ('tell',), ('jew',)]","[('be', 'not')]",[],8,"{('NNS', 'VBP'), ('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.125,1
2309,1,0,0,1,0,1,0,1,0,6,0,3,0,0,"[('trash',), ('talk',), ('not',)]",[],[],1,"{('NN', 'NN')}",0.0,1
2310,1,0,0,0,0,2,0,1,0,22,0,6,0,0,"[('probabl',), ('trash',), ('talk',), ('will',), ('like',), ('not',)]",[],[],3,"{('NN', 'IN'), ('NN', 'NN'), ('PRP', 'VBP')}",0.5365,0
2311,1,0,0,0,2,2,0,2,0,13,0,4,0,0,"[('hoe',), ('love',), ('not',), ('know',)]",[],[],1,"{('JJ', 'NN')}",0.7783,0
2312,1,0,0,1,0,2,0,1,0,10,0,2,0,0,"[('know',), ('not',)]",[],[],2,"{('JJ', 'NN'), ('JJ', 'NNS')}",-0.5563,0
2313,1,0,0,1,0,1,0,2,0,24,0,2,0,0,"[('new',), ('not',)]",[],[],6,"{('NN', 'IN'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.0,0
2314,1,1,0,0,1,1,0,1,0,19,0,7,0,0,"[('trash',), ('deal',), ('place',), ('not',), ('reason',), ('got',), ('want',)]",[],[],6,"{('NNS', 'VBP'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('DT', 'JJ'), ('DT', 'NN')}",-0.1316,1
2315,1,1,0,0,0,3,0,3,0,21,0,1,0,0,"[('said',)]",[],[],6,"{('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.2714,0
2316,0,0,0,3,3,2,0,2,0,22,0,7,0,0,"[('nigger',), ('like',), ('be',), ('not',), ('check',), ('word',), ('nigga',)]",[],[],7,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NNS', 'IN'), ('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.7964,0
2317,1,0,0,0,0,0,0,1,0,9,0,4,0,0,"[('peopl',), ('like',), ('trash',), ('not',)]",[],[],4,"{('JJ', 'NN'), ('NN', 'NN'), ('IN', 'NN'), ('JJ', 'NNS')}",-0.1088,1
2318,0,0,0,1,4,1,0,1,0,16,0,8,0,0,"[('wors',), ('asian',), ('earth',), ('got',), ('mexican',), ('feel',), ('bitch',), ('nigga',)]",[],[],5,"{('JJ', 'NNS'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('NNS', 'IN')}",-0.8658,1
2319,1,0,0,1,1,4,0,1,0,8,0,5,0,0,"[('retard',), ('feel',), ('big',), ('thank',), ('brother',)]",[],[],3,"{('JJ', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",-0.2058,0
2320,1,0,0,1,0,0,0,2,0,12,1,3,0,0,"[('find',), ('lmao',), ('babi',)]",[],[],3,"{('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.3818,0
2321,0,0,0,7,0,1,0,1,0,12,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.2732,0
2322,1,0,0,1,0,0,0,1,0,27,0,5,0,0,"[('arm',), ('found',), ('trash',), ('better',), ('mud',)]",[],[],5,"{('NN', 'IN'), ('NN', 'CC'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.4404,1
2323,1,0,0,0,0,0,0,1,0,9,0,1,0,0,"[('ape',)]",[],[],4,"{('DT', 'NN'), ('NN', 'IN'), ('IN', 'DT'), ('JJ', 'NNS')}",0.0,1
2324,0,0,0,4,5,0,0,1,0,10,0,3,0,0,"[('nigger',), ('fuck',), ('hate',)]",[],[],1,"{('NNS', 'VBP')}",-0.6115,1
2325,1,0,0,0,1,0,0,1,0,10,0,0,0,0,[],[],[],5,"{('NN', 'IN'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.0,0
2326,1,0,0,0,0,3,0,2,0,27,0,10,0,0,"[('uncl',), ('kid',), ('like',), ('walk',), ('not',), ('dude',), ('got',), ('marriag',), ('big',), ('know',)]",[],[],9,"{('JJ', 'NNS'), ('NNS', 'IN'), ('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.128,1
2327,1,0,0,0,0,3,0,1,0,10,0,5,0,0,"[('hey',), ('like',), ('shoot',), ('got',), ('dirti',)]",[],[],4,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",-0.4215,1
2328,1,0,0,0,0,2,0,1,0,8,0,3,0,0,"[('got',), ('red',), ('eye',)]",[],[],4,"{('IN', 'DT'), ('DT', 'JJ'), ('JJ', 'NN'), ('NNS', 'IN')}",0.0,1
2329,1,1,0,1,1,3,0,2,0,26,0,6,0,0,"[('-pron-',), ('trash',), ('start',), ('got',), ('cracker',), ('good',)]",[],[],7,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.5355,0
2330,1,0,0,1,1,3,0,1,0,19,0,5,0,0,"[('not',), ('stop',), ('hate',), ('good',), ('color',)]",[],[],5,"{('JJ', 'NNS'), ('NN', 'CC'), ('JJ', 'NN'), ('TO', 'VB'), ('DT', 'JJ')}",0.5903,0
2331,1,0,0,1,0,1,0,1,0,16,0,1,0,0,"[('make',)]",[],[],4,"{('IN', 'NN'), ('NN', 'NN'), ('NNS', 'IN'), ('DT', 'NN')}",0.0,0
2332,1,0,0,3,0,0,0,2,0,12,0,4,0,0,"[('think',), ('trash',), ('hate',), ('lie',)]",[],[],2,"{('NNS', 'VBP'), ('DT', 'NN')}",-0.7096,1
2333,0,0,0,1,2,2,0,2,0,15,0,3,0,0,"[('hope',), ('fag',), ('hate',)]",[],[],4,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.5267,1
2334,0,0,0,0,3,0,0,1,0,4,0,3,0,0,"[('dumb',), ('bitch',), ('hate',)]",[],[],1,"{('JJ', 'NNS')}",-0.8979,1
2335,0,0,0,0,2,0,0,1,0,4,0,3,0,0,"[('fat',), ('bitch',), ('hate',)]",[],[],1,"{('JJ', 'NNS')}",-0.8225,1
2336,1,0,0,3,0,0,0,1,0,9,0,3,0,0,"[('ghetto',), ('hate',), ('sound',)]",[],[],1,"{('NNS', 'IN')}",-0.5719,1
2337,1,0,0,1,0,3,0,3,0,29,0,5,0,0,"[('fact',), ('happi',), ('yellow',), ('get',), ('hate',)]",[],[],9,"{('NNS', 'VBP'), ('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.7401,1
2338,1,0,0,1,1,4,0,1,0,16,0,4,0,0,"[('hate',), ('boy',), ('game',), ('eye',)]",[],[],8,"{('JJ', 'NNS'), ('NNS', 'IN'), ('NN', 'IN'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.5719,1
2339,0,0,0,2,0,2,0,1,0,24,0,7,0,0,"[('trash',), ('school',), ('ghetto',), ('grow',), ('crimin',), ('street',), ('hate',)]",[],[],7,"{('NN', 'IN'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.6908,1
2340,0,0,0,1,1,0,0,1,0,15,0,7,1,1,"[('murder',), ('cop',), ('trash',), ('white',), ('daughter',), ('rape',), ('hate',)]","[('white', 'trash')]","[('hate', 'white', 'trash')]",3,"{('DT', 'JJ'), ('JJ', 'NN'), ('JJ', 'NNS')}",-0.9287,0
2341,0,0,0,3,1,0,0,1,0,14,0,7,1,0,"[('black',), ('nigger',), ('peopl',), ('white',), ('bad',), ('hate',), ('tri',)]","[('black', 'peopl')]",[],4,"{('NNS', 'VBP'), ('DT', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",-0.9259,1
2342,1,0,0,0,0,1,0,1,0,10,0,6,1,0,"[('like',), ('sound',), ('head',), ('femal',), ('hate',), ('tri',)]","[('sound', 'like')]",[],4,"{('NNS', 'VBP'), ('IN', 'NN'), ('TO', 'VB'), ('NN', 'NN')}",-0.296,0
2343,0,0,0,1,4,2,0,2,0,21,0,8,1,0,"[('tell',), ('peopl',), ('look',), ('fuck',), ('like',), ('ugli',), ('bitch',), ('hate',)]","[('bitch', 'fuck')]",[],5,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('PRP', 'VBP'), ('IN', 'NN'), ('NN', 'NN')}",-0.9153,1
2344,0,0,0,2,0,0,0,1,0,24,0,7,2,1,"[('trash',), ('hate',), ('white',), ('like',), ('make',), ('act',), ('tri',)]","[('act', 'like'), ('white', 'trash')]","[('hate', 'white', 'trash')]",4,"{('NN', 'NN'), ('JJ', 'NN'), ('TO', 'VB'), ('PRP', 'VBP')}",-0.296,1
2345,1,0,0,0,0,3,0,1,0,10,1,6,0,0,"[('arm',), ('lol',), ('not',), ('feel',), ('yellow',), ('hate',)]",[],[],2,"{('JJ', 'NN'), ('JJ', 'NNS')}",-0.2263,1
2346,0,1,0,1,0,0,0,1,0,9,1,3,0,0,"[('lol',), ('nicca',), ('hate',)]",[],[],1,"{('JJ', 'NNS')}",-0.2942,1
2347,1,0,0,1,0,3,0,1,0,8,0,2,0,0,"[('feel',), ('trash',)]",[],[],3,"{('NNS', 'VBP'), ('NN', 'NN'), ('DT', 'NN')}",0.128,1
2348,1,0,0,1,0,6,0,1,0,8,0,2,0,0,"[('yellow',), ('seen',)]",[],[],3,"{('NNS', 'VBP'), ('DT', 'JJ'), ('JJ', 'NN')}",0.0,1
2349,1,0,0,0,0,2,0,2,0,16,0,5,1,0,"[('look',), ('like',), ('best',), ('redneck',), ('tri',)]","[('look', 'like')]",[],4,"{('NNS', 'VBP'), ('NN', 'CC'), ('IN', 'DT'), ('DT', 'NN')}",0.7876,1
2350,1,0,0,0,1,4,0,1,0,11,0,3,0,0,"[('ok',), ('natur',), ('color',)]",[],[],1,"{('NNS', 'VBP')}",-0.2235,0
2351,1,0,0,0,0,2,0,2,0,19,0,2,0,0,"[('know',), ('not',)]",[],[],5,"{('NNS', 'VBP'), ('NN', 'IN'), ('TO', 'VB'), ('IN', 'NN'), ('DT', 'NN')}",-0.4215,1
2352,1,0,0,1,0,3,0,3,0,16,0,1,0,0,"[('hear',)]",[],[],5,"{('DT', 'NN'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('NNS', 'IN')}",-0.25,1
2353,1,0,0,5,2,2,0,1,0,14,0,3,0,0,"[('thing',), ('day',), ('hear',)]",[],[],6,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.0,1
2354,1,0,0,3,0,1,0,1,0,9,0,1,0,0,"[('hope',)]",[],[],4,"{('NNS', 'VBP'), ('NN', 'IN'), ('IN', 'DT'), ('DT', 'NN')}",0.4404,1
2355,1,0,0,0,1,3,0,1,0,14,0,2,0,0,"[('hope',), ('away',)]",[],[],2,"{('NNS', 'VBP'), ('JJ', 'NN')}",0.4404,1
2356,1,0,0,2,0,2,0,4,0,25,0,6,0,0,"[('trash',), ('talk',), ('not',), ('hope',), ('get',), ('poor',)]",[],[],8,"{('NNS', 'VBP'), ('NNS', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.5242,0
2357,0,0,0,1,1,0,0,1,0,7,0,3,0,0,"[('bitch',), ('hope',), ('eye',)]",[],[],3,"{('NNS', 'VBP'), ('NN', 'NN'), ('PRP', 'VBP')}",-0.743,1
2358,1,0,0,0,0,4,0,1,0,14,0,6,0,0,"[('be',), ('not',), ('use',), ('come',), ('hope',), ('color',)]",[],[],6,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('DT', 'JJ')}",0.1759,0
2359,1,0,0,0,0,2,0,1,0,3,0,1,0,0,"[('ignor',)]",[],[],0,set(),-0.3612,1
2360,1,0,0,0,0,1,0,2,0,11,0,1,0,0,"[('buy',)]",[],[],3,"{('NNS', 'VBP'), ('NN', 'NN'), ('DT', 'NN')}",0.0,1
2361,1,1,0,0,0,1,0,1,0,9,0,1,0,0,"[('need',)]",[],[],2,"{('TO', 'VB'), ('DT', 'NN')}",0.6239,0
2362,1,0,0,0,0,0,0,1,0,8,0,0,0,0,[],[],[],2,"{('NN', 'IN'), ('DT', 'NN')}",0.0,0
2363,1,0,0,0,0,4,0,1,0,13,1,2,0,0,"[('saw',), ('man',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.4588,1
2364,1,0,0,1,0,1,0,2,0,26,0,2,0,0,"[('wanna',), ('play',)]",[],[],7,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.34,0
2365,0,0,0,0,0,0,0,1,0,7,0,1,0,0,"[('wanna',)]",[],[],2,"{('NN', 'NN'), ('DT', 'NN')}",0.0,1
2366,1,0,0,1,1,0,0,1,0,20,1,4,0,0,"[('way',), ('lol',), ('stop',), ('want',)]",[],[],4,"{('NNS', 'VBP'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.5994,0
